year,ine_code
2019,44001
2025,48001
2016,20001
2023,30001
2022,48002
2025,30002
2017,31002
2030,42001
2017,44002
2019,13001
2021,22001
2026,31006
2018,10003
2027,14001
2017,38001
2017,46001
2018,31007
2020,46002
2023,20002
2022,35001
2016,25002
2029,36020
2020,25003
2017,42004
2022,41001
2043,50004
2017,44004
2021,22004
2016,40004
2022,34004
2016,14002
2020,26003
2017,30003
2020,50005
2020,35002
2018,17001
2021,38002
2022,31009
2019,46042
2020,43001
2022,17002
2020,22907
2030,50006
2019,22006
2020,25038
2028,20003
2020,28002
2021,47004
2019,50008
2033,21001
2050,29001
2020,18002
2025,13003
2047,28004
2021,25004
2034,46005
2038,34005
2032,37007
2031,50009
2019,16003
2017,19005
2024,25005
2019,37008
2023,25006
2034,46006
2018,46007
2027,46009
2016,46010
2020,22007
2020,16005
2016,19006
2019,22008
2024,23001
2021,44009
2027,25007
2024,22009
2019,16006
2016,44010
2021,16007
2047,37010
2018,46011
2022,26006
2027,22013
2024,25008
2019,50011
2029,43002
2023,43003
2020,12003
2023,18003
2017,18004
2025,17004
2024,46012
2034,30004
2018,46014
2026,18006
2031,45004
2018,50013
2024,41004
2025,28005
2017,44012
2026,11001
2038,50014
2029,12004
2019,41005
2017,11002
2041,23002
2026,22016
2016,26007
2019,43004
2018,49003
2024,44013
2036,30005
2029,46016
2018,14003
2029,25011
2023,23003
2032,45006
2020,13005
2045,30902
2025,13006
2019,28006
2032,22017
2018,45007
2023,10009
2018,16012
2022,12005
2022,44014
2026,43005
2043,13008
2024,46020
2025,46019
2029,10010
2024,46021
2025,35020
2042,10013
2016,45008
2017,43904
2022,10011
2026,37016
2027,26008
2016,45010
2055,40010
2030,23004
2027,37019
2017,37020
2017,37023
2028,10016
2024,37025
2016,37026
2021,43006
2022,20005
2044,43007
2031,18011
2022,46022
2018,50018
2026,22020
2020,43008
2017,46024
2020,46025
2022,29004
2018,26011
2017,46026
2016,46023
2051,12007
2024,27002
2044,41007
2018,41008
2025,11003
2016,19016
2020,46028
2033,18012
2031,29005
2021,29006
2024,46029
2023,25015
2030,28009
2016,46031
2027,11005
2020,25016
2025,30007
2019,50020
2023,30008
2016,13010
2024,29007
2022,29008
2041,18014
2019,25017
2019,43010
2031,32001
2055,33002
2022,44022
2036,25019
2029,29009
2047,13011
2022,41009
2046,13012
